pagePath,pageTitle,pageviews
/data/data-management-tools-test,Data Management Tools test | Duke University Libraries,20
/data/guides/,Data and Visualization Guides | Duke University Libraries,20
/data/news/contest2015/,2015 Student Data Visualization Contest | Duke University Libraries,20
/data/about-based-home-page,About-based home page | Duke University Libraries,17
/data/collections/ccdb,"Sorry, Your Page Isn't Here | Duke University Libraries",17
/data/collections/ccdb/ccdb/county,"Sorry, Your Page Isn't Here | Duke University Libraries",17
/data/collections/gis/esri/esri_2003,ESRI Data and Maps 2003 | Duke University Libraries,17
/data/data-sources,Data Sources | Duke University Libraries,17
/data/funder-requirements-test,Funder Requirements test | Duke University Libraries,17
/data/sharing-data-repository-test,Sharing Data in a Repository test | Duke University Libraries,17
/data/about/,About Data and Visualization Services | Duke University Libraries,14
/data/collections/gis/esri/,ESRI Data and Maps GIS Layers | Duke University Libraries,14
/data/data-management-plan-test,Data Management Plan test | Duke University Libraries,14
/data/irb-approval-data-sharing,IRB Approval for Data Sharing | Duke University Libraries,14
/data/news/contest2014/,2014 Student Data Visualization Contest | Duke University Libraries,14
/data/collections/gis/landsat,Selected Landsat Images | Duke University Libraries,11
/data/js-test,JS test | Duke University Libraries,11
/data/shib_auth/get_custom_data,Customize Your Library User Name | Duke University Libraries,11
/data/user,emonson | Duke University Libraries,11
/data/askdata@duke.edu,"Sorry, Your Page Isn't Here | Duke University Libraries",8
/data/collections/ccdb/ccdb/city,"Sorry, Your Page Isn't Here | Duke University Libraries",8
/data/collections/euratlas1/bib_first,"Eurasia Bibliography, First Century | Duke University Libraries",8
/data/collections/galedrives,Gale Databases (ProQuest) Text Collection | Duke University Libraries,8
/data/collections/gis/esri/esri/esri_2013,"Sorry, Your Page Isn't Here | Duke University Libraries",8
"/data/collections/iterate,",weixin://private/setresult/SCENE_FETCHQUEUE&eyJmdW5jIjoibG9nIiwicGFyYW1zIjp7Im1zZyI6Il9ydW5PbjNyZEFwaUxpc3QgOiBtZW51OnNoYXJlOnRpbWVsaW5lLG1lbnU6c2hhcmU6YXBwbWVzc2FnZSxvblZvaWNlUmVjb3JkRW5kLG9uVm9pY2VQbGF5QmVnaW4sb25Wb2ljZVBsYXlFbmQsb25Mb2NhbEltYWdlVXBsb2FkUHJvZ3Jlc3Msb25JbWFnZURvd25sb2FkUHJvZ3Jlc3Msb25Wb2ljZVVwbG9hZFByb2dyZXNzLG9uVm9pY2VEb3dubG9hZFByb2dyZXNzLG1lbnU6c2V0Zm9udCxtZW51OnNoYXJlOndlaWJvLG1lbnU6c2hhcmU6ZW1haWwsd3hkb3dubG9hZDpzdGF0ZV9jaGFuZ2UsaGRPbkRldmljZVN0YXRlQ2hhbmdlZCxhY3Rpdml0eTpzdGF0ZV9jaGFuZ2UifSwiX19tc2dfdHlwZSI6ImNhbGwiLCJfX2NhbGxiYWNrX2lkIjoiMTAwMCJ9,8
/data/data-citations,Data Citations | Duke University Libraries,8
/data/ddr-research-data-policies-procedures,DDR Research Data Policies & Procedures | Duke University Libraries,8
/data/feedback,Data and Visualization Services Workshop Feedback Form | Duke University Libraries,8
/data/listing/master,DataGIS Drupal Content Management | Duke University Libraries,8
/data/news/contest2016/,2016 Student Data Visualization Contest | Duke University Libraries,8
/data/research,"Sorry, Your Page Isn't Here | Duke University Libraries",8
/data/users/jen-darragh,Jen Darragh | Duke University Libraries,8
/data/about/staf,"Sorry, Your Page Isn't Here | Duke University Libraries",6
/data/collections/gis/duke/,Duke University GIS Layers and Aerial Photography | Duke University Libraries,6
/data/collections/gis/esri/esri_2004,ESRI Data and Maps 2004 | Duke University Libraries,6
/data/collections/gis/esri/esri_2006,ESRI Data and Maps 2006 | Duke University Libraries,6
/data/collections/podes,(not set),6
/data/collections/stata_journal/,Stata Journal | Duke University Libraries,6
/data/courses,"Sorry, Your Page Isn't Here | Duke University Libraries",6
/data/data-management-plan-test-page,Data Management Plan - test page | Duke University Libraries,6
/data/data-management-test,Data Management test | Duke University Libraries,6
/data/data-management-test-2,Data Management test 2 | Duke University Libraries,6
/data/duke-only/gis/esri/esridm/2013/usa/census/placeply.zip,"Sorry, Your Page Isn't Here | Duke University Libraries",6
/data/files/datasets/cvdcrhd4_toc,"Sorry, Your Page Isn't Here | Duke University Libraries",6
/data/files/esr,"Sorry, Your Page Isn't Here | Duke University Libraries",6
/data/files/esri/esridm/2013/streetmap_na/data/data/background/landmark_cities.html,"Sorry, Your Page Isn't Here | Duke University Libraries",6
/data/files/esri/esridrm/2010/streetmap_na/streets.html,"Sorry, Your Page Isn't Here | Duke University Libraries",6
/data/panel-test,Duke University Libraries,6
/data/,Technical Difficulties | Duke University Libraries,3
"/data/""","Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/about/hours,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/collections/ccdb/county,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/collections/euratlas1/bib_seventeenth,"Euratlas Bibliography, Seventeenth Century | Duke University Libraries",3
/data/collections/euratlas1/bib_thirteenth,"Eurasia Bibliography, Thirteenth Century | Duke University Libraries",3
/data/collections/gis/duke”,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/collections/gis/esri/esri_2005,ESRI Data and Maps 2005 | Duke University Libraries,3
/data/collections/gis/esri/esri_2012/,ESRI Data and Maps 2012 | Duke University Libraries,3
/data/collections/gis/esri/esri/esri_2012,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/collections/gis/esri/esri/tutorials,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/collections/icrg,weixin://private/setresult/SCENE_FETCHQUEUE&eyJmdW5jIjoibG9nIiwicGFyYW1zIjp7Im1zZyI6Il9ydW5PbjNyZEFwaUxpc3QgOiBtZW51OnNoYXJlOnRpbWVsaW5lLG1lbnU6c2hhcmU6YXBwbWVzc2FnZSxvblZvaWNlUmVjb3JkRW5kLG9uVm9pY2VQbGF5QmVnaW4sb25Wb2ljZVBsYXlFbmQsb25Mb2NhbEltYWdlVXBsb2FkUHJvZ3Jlc3Msb25JbWFnZURvd25sb2FkUHJvZ3Jlc3Msb25Wb2ljZVVwbG9hZFByb2dyZXNzLG9uVm9pY2VEb3dubG9hZFByb2dyZXNzLG1lbnU6c2V0Zm9udCxtZW51OnNoYXJlOndlaWJvLG1lbnU6c2hhcmU6ZW1haWwsd3hkb3dubG9hZDpzdGF0ZV9jaGFuZ2UsaGRPbkRldmljZVN0YXRlQ2hhbmdlZCxhY3Rpdml0eTpzdGF0ZV9jaGFuZ2UifSwiX19tc2dfdHlwZSI6ImNhbGwiLCJfX2NhbGxiYWNrX2lkIjoiMTAwMCJ9,3
/data/collections/iterate,Technical Difficulties | Duke University Libraries,3
/data/collections/new,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/collections/null,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/collections/selected.,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/data,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/data-cleaning-and-analysis,Data Cleaning and Analysis | Duke University Libraries,3
/data/data-index,Data and Visualization Services | Duke University Libraries,3
/data/data-management,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/data-management/collection,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/data-management/collection-policy,Collection Policy for Research Data in the DDR | Duke University Libraries,3
/data/data-management/pricing,Duke Digital Repository Pricing for Data Storage | Duke University Libraries,3
/data/data/about,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/duke-only/gis/durham/Durham_ActiveAddressPoints.zip,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/duke-only/gis/durham/kml/Durham_Acquired_20101210/last_mod_20100701/Durham_County.kmz,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/duke-only/gis/esri/esridm/2013/,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/duke-only/iterate/ITERATECOMMONFILE(Y)2008(version1).xls,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/duke-only/referenceusa/,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/duke-only/referenceusa/csv/,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/feed,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/files,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/files/_themes/usgsastro-pigputty/bluegreenbar_t2.gif,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/files/datasets/_pneumo2_toc,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/files/datasets/_vegesum_toc,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/files/datasets/_vegresp_toc,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/files/datasets/exeroft1_toc,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/files/esri/esridm/2012/streetmap_na/background/can_prov_ln.html,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/files/esri/esridm/2013/usa/background/coastal.html,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/files/esri/esridrm/2010/streetmap_na/streets/html,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/filter/tips,Compose tips | Duke University Libraries,3
/data/funder-requirements-test-2,Funder Requirements test 2 | Duke University Libraries,3
/data/guides/data-management/help-at-duke,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/guides/data-management/metadata,Metadata | Duke University Libraries,3
/data/guides/online-mapping,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/listing/other,Other Pages | Duke University Libraries,3
/data/listing/research,All Pages | Duke University Libraries,3
/data/news-old,News and Events | Duke University Libraries,3
/data/news/past-workshops,weixin://private/setresult/SCENE_FETCHQUEUE&eyJmdW5jIjoibG9nIiwicGFyYW1zIjp7Im1zZyI6Il9ydW5PbjNyZEFwaUxpc3QgOiBtZW51OnNoYXJlOnRpbWVsaW5lLG1lbnU6c2hhcmU6YXBwbWVzc2FnZSxvblZvaWNlUmVjb3JkRW5kLG9uVm9pY2VQbGF5QmVnaW4sb25Wb2ljZVBsYXlFbmQsb25Mb2NhbEltYWdlVXBsb2FkUHJvZ3Jlc3Msb25JbWFnZURvd25sb2FkUHJvZ3Jlc3Msb25Wb2ljZVVwbG9hZFByb2dyZXNzLG9uVm9pY2VEb3dubG9hZFByb2dyZXNzLG1lbnU6c2V0Zm9udCxtZW51OnNoYXJlOndlaWJvLG1lbnU6c2hhcmU6ZW1haWwsd3hkb3dubG9hZDpzdGF0ZV9jaGFuZ2UsaGRPbkRldmljZVN0YXRlQ2hhbmdlZCxhY3Rpdml0eTpzdGF0ZV9jaGFuZ2UifSwiX19tc2dfdHlwZSI6ImNhbGwiLCJfX2NhbGxiYWNrX2lkIjoiMTAwMCJ9,3
/data/news/past-workshps,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/newsFall,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/panel-omega-12-basic-two-column,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/research-data-management/,Research Data Management | Duke University Libraries,3
/data/research-data-management/,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/sites/default/files/datagis/store/stata_14b.zip,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/sites/default/files/datagis/users/angela.zoss/,"Sorry, Your Page Isn't Here | Duke University Libraries",3
/data/test,Test | Duke University Libraries,3
/data/two-column-test,two-column test | Duke University Libraries,3
/data/user,derrek.croney | Duke University Libraries,3
/data/user,Sophia Lafferty-Hess | Duke University Libraries,3
/data/user,Thomas Crichlow | Duke University Libraries,3
/data/user,User account | Duke University Libraries,3
